X(88)	0011000100100
_(95)	0011000100101
Z(90)	0011000100110
Q(81)	0011000100111
@(64)	111000000000
<(60)	111000000001
q(113)	111001001000
=(61)	111001001001
*(42)	00110001000
z(122)	01110010100
K(75)	01110010101
G(71)	10111000100
;(59)	10111000101
j(106)	11100000001
R(82)	11100001000
:(58)	11100001001
%(37)	11100100101
N(78)	0011000101
/(47)	0011000110
M(77)	0011000111
Y(89)	0111001011
x(120)	0111011110
6(54)	0111011111
J(74)	1011100011
L(76)	1011100110
E(69)	1011100111
7(55)	1110000001
H(72)	1110000101
8(56)	1110010000
P(80)	1110010001
U(85)	1110010011
B(66)	011100100
V(86)	011101100
F(70)	011101101
A(65)	011101110
4(52)	101110000
NUL(0)	101110010
O(79)	111000001
k(107)	111000011
T(84)	111000100
5(53)	111000101
I(73)	111011010
W(87)	111011011
LF(10)	00110000
S(83)	01010010
3(51)	01010011
-(45)	01110000
D(68)	01110001
9(57)	01110011
2(50)	11100011
)(41)	11100101
((40)	11101100
C(67)	0011001
0(48)	0101000
1(49)	0111010
w(119)	1011101
b(98)	1110011
.(46)	1110111
g(103)	1111100
v(118)	1111101
,(44)	001101
y(121)	010101
p(112)	101100
f(102)	101101
m(109)	101111
u(117)	111010
c(99)	111111
l(108)	00111
d(100)	01011
h(104)	01111
s(115)	11110
r(114)	0010
o(111)	0100
i(105)	0110
a(97)	1000
n(110)	1001
t(116)	1010
e(101)	000
 (32)	110
